train_no,train_name,weekday,weekday_no
107,SWV-MAO-VLNK,Saturday,5
108,VLNK-MAO-SWV,Friday,4
128,MAO-KOP SPEC,Friday,4
290,PALACE ON WH,Wednesday,2
401,BSB BHARATDA,Saturday,5
421,LKO-SVDK FTR,Tuesday,1
422,SVDK-LKO FTR,Monday,0
477,FTR TRAIN NO,Sunday,6
502,RJPB-UMB FTR,Monday,0
504,PNBE-BTI FTR,Wednesday,2
506,PNBE-PTA FTR,Friday,4
557,RSD-PJP BSF,Wednesday,2
22439,SVDK VANDEBHARAT,Friday,4
604,PNBE-ASR FTR,Thursday,3
1011,CSMT-NGP SF,Thursday,3
1037,LTT-SWV SPL,Tuesday,1
1038,SWV-LTT SPL,Tuesday,1
1045,LTT-KRMI SPL,Thursday,3
1119,AJNI-KRMI SP,Monday,0
1120,KRMI-AJNI SP,Sunday,6
1122,KRMI-CSMT SP,Friday,4
1196,NGP-KRMI SPL,Saturday,5
1301,PUNE-MAJN WE,Monday,0
1302,MAJN-PUNE WE,Tuesday,1
1442,DSJ-KK MTY S,Tuesday,1
1655,PUNE-JBP SPL,Wednesday,2
1656,JBP-PUNE SPL,Friday,4
1705,BDTS-JBP SF,Friday,4
1706,JBP-BDTS SF,Saturday,5
1707,JBP-ATT BI-W,Thursday,3
1708,ATT-JBP BI-W,Tuesday,1
2025,CSMT-KRMI SF,Tuesday,1
2026,KRMI-CSMT SF,Monday,0
2191,JBP-SRC SF S,Tuesday,1
2192,SRC-JBP SF S,Wednesday,2
2195,REWA-BPL SF,Thursday,3
2196,BPL-REWA SF,Monday,0
2515,TVC-SCL SPL,Wednesday,2
2651,PLNI-POY EXP,Monday,0
2652,POY-PLNI EXP,Thursday,3
2731,HYB-JP HSP,Thursday,3
2732,JP-HYB SPECI,Monday,0
2821,PUNE-SRC AC,Friday,4
2822,SRC-PUNE  AC,Friday,4
2833,RJT-SRC SF A,Thursday,3
2834,SRC-RJT SF A,Saturday,5
2841,SRC MAS SPL,Wednesday,2
2842,MAS SRC SPL,Wednesday,2
2845,PUNE HTE SPL,Thursday,3
2846,HTE-PUNE SPL,Friday,4
3101,KOAA PURI SP,Friday,4
3102,PURI KOAA SP,Sunday,6
3301,ASN-DHN MEMU,Wednesday,2
3302,DHN-ASN MEMU,Monday,0
3305,DHN-KUSUNDA,Saturday,5
3306,KUSUNDA-DHN,Friday,4
3307,SZE-PLJE MEM,Wednesday,2
3308,PLJE-SZE MEM,Friday,4
3501,JSME-ANVT BI,Sunday,6
3502,ANVT-JSME BI,Saturday,5
4401,ANVT-UHP EXP,Thursday,3
4402,UHP-ANVT EXP,Thursday,3
4409,DLI-SVDK SPL,Sunday,6
4410,SVDK-DLI SPL,Wednesday,2
4419,MAO-NZM WINT,Sunday,6
4420,NZM-MAO WINT,Wednesday,2
4735,BKN - HW EXP,Sunday,6
4736,HW - BKN EXP,Tuesday,1
4767,HMH-SGNR SPL,Sunday,6
4768,SGNR-HMH SPL,Wednesday,2
4769,HMH SGNR PAS,Monday,0
4770,SGNR HMH PAS,Thursday,3
4771,SDLP-SGNR SP,Tuesday,1
4772,SGNR-SDLP SP,Tuesday,1
4773,SGNR SOG SPL,Tuesday,1
4774,SOG SGNR SPL,Sunday,6
4801,PBC MKN PASS,Thursday,3
4802,MKN PBC PASS,Saturday,5
4831,JU HW SPL,Sunday,6
4832,HW JU SPL,Wednesday,2
4851,MTD RTGH SPL,Thursday,3
4852,RTGH MTD SPL,Monday,0
4853,RTGH CUR SPL,Monday,0
4854,CUR RTGH SPL,Monday,0
4921,SRE-UMB MEMU,Tuesday,1
4922,UMB-SRE MEMU,Tuesday,1
4991,PTK-JAT DEMU,Wednesday,2
4992,JAT-PTK DEMU,Sunday,6
5061,GKP - BNY SP,Wednesday,2
5062,BNY - GKP SP,Monday,0
5065,CPR-LJN,Thursday,3
5066,LJN-CPR-EXP,Saturday,5
5105,GKP-BST SPL,Wednesday,2
5106,BST-GKP SPL,Monday,0
5305,CPA-FBD EXP,Thursday,3
5306,FBD- CPA EXP,Saturday,5
5309,BC-LKU SPL,Friday,4
5310,LKU-BC EXP,Wednesday,2
5521,JMP-SHC SPEC,Saturday,5
5522,SHC-JMP SPEC,Monday,0
5613,JLWC-KOTA SP,Sunday,6
5614,KOTA-JLWC SP,Sunday,6
5619,NLP - MZS PA,Thursday,3
5620,MZS - NLP PA,Tuesday,1
5631,GHY - SCL PA,Wednesday,2
5632,SCL - GHY PA,Friday,4
5715,GAREEB NAWAZ,Monday,0
5716,GAREEB NAWAZ,Thursday,3
5719,KIR - SGUJ D,Saturday,5
5720,SGUJ - KIR D,Tuesday,1
5863,RNY - RPAN P,Saturday,5
5864,RPAN - RNY P,Saturday,5
5865,RNY - MZS PA,Thursday,3
5866,MZS - RNY PA,Monday,0
6001,MS-TEN SPECI,Friday,4
6002,TEN - MS SPE,Wednesday,2
6006,ERS-MAS SPL,Tuesday,1
6009,SRC-PDY SPL,Tuesday,1
6010,PDY-SRC SPL,Monday,0
6041,MAS-QLN SPEC,Monday,0
6042,QLN-MAS SPEC,Thursday,3
6043,MAS-QLN SPL,Saturday,5
6044,QLN-MAS  SPL,Friday,4
6046,QLN-MAS SPEC,Tuesday,1
6047,MAS-QLN SPL,Friday,4
6048,QLN- MAS SPL,Tuesday,1
6049,MS-QLN SPL F,Monday,0
6050,QLN-MS  SPL,Wednesday,2
6053,KCVL-MAJN S/,Saturday,5
6054,MAJN-KCVL S/,Sunday,6
6057,SRC-MAS  SPL,Friday,4
6058,MAS-SRC  EXP,Tuesday,1
6065,CGL-MDU SPL,Monday,0
6066,MDU-CGL SPL,Tuesday,1
6067,CGL-CBE TRI-,Sunday,6
6068,CBE-CGL TRI-,Saturday,5
6081,CBE-POY PASS,Friday,4
6082,POY-CBE PASS,Thursday,3
6412,DSJ-PAY EZHI,Friday,4
6512,MKM-BAND ONE,Wednesday,2
6513,BWT-MKM-MEMU,Sunday,6
6541,YPR-PVR WEEK,Sunday,6
6542,PVR-YPR WEEK,Wednesday,2
6547,YPR-ERS WEEK,Thursday,3
6548,ERS-YPR WEEK,Wednesday,2
6579,YPR-VSKP WKY,Friday,4
6580,VSKP-YPR WKY,Tuesday,1
6581,YPR-BGM TATK,Thursday,3
6582,BGM-YPR TATK,Monday,0
6591,YPR-HSRA PAS,Monday,0
6592,HSRA-YPR PAS,Tuesday,1
6593,WFD-BYPL DEM,Sunday,6
6594,BYPL-WFD DEM,Saturday,5
6595,YPR-CBP PASS,Saturday,5
6596,CBP-YPR PASS,Tuesday,1
6647,KRBA-BSP PAS,Friday,4
6648,BSP-KRRBA PA,Friday,4
6769,PGTN-PLNI PA,Wednesday,2
6770,PLNI-PGTN PA,Thursday,3
6851,KIK-NCR DEMU,Wednesday,2
6852,NCR-KIK DEMU,Sunday,6
6853,KIK-NCR PASS,Thursday,3
6854,NCR-KIK PASS,Monday,0
6919,UBL-BJP SPL,Saturday,5
6920,BJP-UBL SPL,Monday,0
7005,HYB-RXL,Sunday,6
7006,RXL-HYB,Saturday,5
7007,SC-DBG,Sunday,6
7008,DBG-SC,Wednesday,2
7016,KCG-VSKP,Saturday,5
7044,VSKP HSP,Monday,0
7061,COA-VLNK,Tuesday,1
7062,VLNK-BZA,Friday,4
7075,HYB-COA,Wednesday,2
7076,COA-HYB,Thursday,3
7109,HYB-QLN,Thursday,3
7110,QLN-HYB,Monday,0
7113,KRMR-QLN,Wednesday,2
7133,HYB-GNT-QLN,Thursday,3
7134,QLN-GNT-HYB,Saturday,5
7141,HYB-QLN,Thursday,3
7142,QLN-HYB,Sunday,6
7146,TPTY-KCG,Friday,4
7149,SC-GHY HSP,Thursday,3
7211,CCT-QLN,Tuesday,1
7212,QLN-COA,Friday,4
7213,BZA-QLN,Friday,4
7214,QLN-BZA,Tuesday,1
7217,NS-QLN,Friday,4
7218,QLN-NS,Monday,0
7410,TPTY-AK,Saturday,5
7417,TPTY-NSL HSP,Monday,0
7418,NSL-TPTY HSP,Monday,0
7425,KCG--COA HSP,Saturday,5
7426,COA-KCG HSP,Sunday,6
7429,SC-TPTY,Wednesday,2
7430,TPTY-SC,Thursday,3
7431,CCT-TPTY,Friday,4
7432,TPTY-CCT,Tuesday,1
7435,COA-HYB,Sunday,6
7436,SC-COA,Saturday,5
7438,KCG-TATA HSP,Tuesday,1
7439,TATA-KCG HSP,Tuesday,1
7487,TPTY-VSKP,Wednesday,2
7505,AWB-QLN,Wednesday,2
7509,ADB-QLN,Thursday,3
7517,BIDAR-PVR,Thursday,3
7525,NJP - NBQ DE,Tuesday,1
7526,NBQ - NJP DE,Tuesday,1
7603,KCG-KJM HSP,Wednesday,2
7604,KJM-KCG HSP,Wednesday,2
